"S No." "States/Union Territory" "Name of the District" "Sub Centres" PHCs CHCs "Sub Divisional Hospital" "District Hospital"
14 "Madhya Pradesh" Rajgarh 165 27 5 3 1
14 "Madhya Pradesh" Ratlam 158 24 5 2 1
14 "Madhya Pradesh" Rewa 271 30 10 1 1
14 "Madhya Pradesh" Sagar 259 27 10 2 1
14 "Madhya Pradesh" Satna 280 43 8 2 1
14 "Madhya Pradesh" Sehore 153 18 7 1 1
14 "Madhya Pradesh" Seoni 265 30 6 1 1
14 "Madhya Pradesh" Shahdol 236 28 7 1 1
14 "Madhya Pradesh" Shajapur 103 14 4 3 1
14 "Madhya Pradesh" Sheopur 90 9 3 0 1
14 "Madhya Pradesh" Shivpuri 191 14 7 0 1
14 "Madhya Pradesh" Sidhi 189 25 5 0 1
14 "Madhya Pradesh" Singroli 202 15 6 0 1
14 "Madhya Pradesh" Tikamgarh 177 20 7 0 1
14 "Madhya Pradesh" Ujjain 172 22 5 6 1
14 "Madhya Pradesh" Umaria 116 12 3 0 1
14 "Madhya Pradesh" Vidisha 146 22 7 2 1
14 "Madhya Pradesh" Total 9192 1171 309 66 51
15 Maharashtra Ahmednagar 555 96 23 2 1
15 Maharashtra Akola 178 30 5 1 0
15 Maharashtra Amravati 333 56 9 4 1
15 Maharashtra Aurangabad 279 50 10 3 0
15 Maharashtra Beed 280 50 10 3 1
15 Maharashtra Bhandara 193 33 7 2 1
15 Maharashtra Buldhana 280 52 12 2 1
15 Maharashtra Chandrapur 339 58 10 3 1
15 Maharashtra Dhule 232 41 6 2 0
15 Maharashtra Gadchiroli 376 45 9 3 1
15 Maharashtra Gondia 238 40 10 1 1
15 Maharashtra Hingoli 132 24 3 1 1
15 Maharashtra Jalgaon 442 77 18 3 1
15 Maharashtra Jalna 213 40 8 1 1
15 Maharashtra Kolhapur 413 73 16 4 0
15 Maharashtra Latur 252 46 10 2 0
15 Maharashtra Nagpur 316 49 9 2 0
15 Maharashtra Nanded 377 65 12 4 0
15 Maharashtra Nandurbar 290 58 12 2 1
15 Maharashtra Nashik 577 104 23 4 1
15 Maharashtra Osmanabad 206 42 6 3 1
15 Maharashtra Palghar 305 46 10 3 0
15 Maharashtra Parbhani 214 31 6 2 1
15 Maharashtra Pune 539 96 20 4 1
15 Maharashtra Raigad 288 52 8 5 1
15 Maharashtra Ratnagiri 378 67 8 3 1
15 Maharashtra Sangli 320 59 13 2 0
15 Maharashtra Satara 400 71 15 2 1
15 Maharashtra Sindhudurga 248 38 7 3 1
15 Maharashtra Solapur 431 77 13 3 0
15 Maharashtra Thane 188 33 6 2 1
15 Maharashtra Wardha 181 27 6 2 1
15 Maharashtra Washim 153 25 7 0 1
15 Maharashtra Yavatmal 435 63 14 3 0
15 Maharashtra Total 10580 1814 360 86 23
16 Manipur Bishnupur 33 7 2 0 1
16 Manipur Chandel 26 6 1 1 1
16 Manipur Churachandpur 65 11 1 0 1
